ngo_name,coverage_level,coverage_area,category,capacity_score
Relief Nepal Dang #1,district,Dang,Water & Sanitation Recovery,88.0
Relief Nepal Dang #2,district,Dang,Agricultural Recovery,64.01
Relief Nepal Dang #2,district,Dang,Critical Infrastructure Restoration,81.18
Relief Nepal Dang #2,district,Dang,Emergency Communications,58.82
Relief Nepal Dang #2,district,Dang,Emergency Food Distribution,75.98
Relief Nepal Dang #2,district,Dang,Emergency Health Response,59.23
Relief Nepal Dang #2,district,Dang,Emergency Logistics & Transportation,74.31
Relief Nepal Dang #2,district,Dang,Emergency Shelter & Housing,59.27
Relief Nepal Dang #2,district,Dang,Immediate Cash Assistance,57.06
Relief Nepal Dang #2,district,Dang,Psychosocial First Aid,57.46
Relief Nepal Dang #2,district,Dang,"Search, Rescue & Evacuation",70.51
Relief Nepal Dang #2,district,Dang,Water & Sanitation Recovery,87.71
Relief Nepal Darchula #1,district,Darchula,Agricultural Recovery,89.77
Relief Nepal Darchula #1,district,Darchula,Critical Infrastructure Restoration,76.78
Relief Nepal Darchula #1,district,Darchula,Emergency Communications,62.97
Relief Nepal Darchula #1,district,Darchula,Emergency Food Distribution,59.35
Relief Nepal Darchula #1,district,Darchula,Emergency Health Response,76.04
Relief Nepal Darchula #1,district,Darchula,Emergency Logistics & Transportation,71.59
Relief Nepal Darchula #1,district,Darchula,Emergency Shelter & Housing,52.7
Relief Nepal Darchula #1,district,Darchula,Immediate Cash Assistance,71.31
Relief Nepal Darchula #1,district,Darchula,Psychosocial First Aid,63.32
Relief Nepal Darchula #1,district,Darchula,"Search, Rescue & Evacuation",85.2
Relief Nepal Darchula #1,district,Darchula,Water & Sanitation Recovery,82.01
Relief Nepal Darchula #2,district,Darchula,Agricultural Recovery,71.43
Relief Nepal Darchula #2,district,Darchula,Critical Infrastructure Restoration,58.04
Relief Nepal Darchula #2,district,Darchula,Emergency Communications,57.01
Relief Nepal Darchula #2,district,Darchula,Emergency Food Distribution,79.23
Relief Nepal Darchula #2,district,Darchula,Emergency Health Response,72.48
Relief Nepal Darchula #2,district,Darchula,Emergency Logistics & Transportation,68.61
Relief Nepal Darchula #2,district,Darchula,Emergency Shelter & Housing,76.47
Relief Nepal Darchula #2,district,Darchula,Immediate Cash Assistance,88.31
Relief Nepal Darchula #2,district,Darchula,Psychosocial First Aid,77.59
Relief Nepal Darchula #2,district,Darchula,"Search, Rescue & Evacuation",52.41
Relief Nepal Darchula #2,district,Darchula,Water & Sanitation Recovery,72.31
Relief Nepal Dhading #1,district,Dhading,Agricultural Recovery,68.02
Relief Nepal Dhading #1,district,Dhading,Critical Infrastructure Restoration,59.89
Relief Nepal Dhading #1,district,Dhading,Emergency Communications,87.79
Relief Nepal Dhading #1,district,Dhading,Emergency Food Distribution,82.52
Relief Nepal Dhading #1,district,Dhading,Emergency Health Response,72.22
Relief Nepal Dhading #1,district,Dhading,Emergency Logistics & Transportation,89.99
Relief Nepal Dhading #1,district,Dhading,Emergency Shelter & Housing,52.26
Relief Nepal Dhading #1,district,Dhading,Immediate Cash Assistance,80.76
Relief Nepal Dhading #1,district,Dhading,Psychosocial First Aid,83.99
Relief Nepal Dhading #1,district,Dhading,"Search, Rescue & Evacuation",89.87
Relief Nepal Dhading #1,district,Dhading,Water & Sanitation Recovery,84.59
Relief Nepal Dhading #2,district,Dhading,Agricultural Recovery,80.89
Relief Nepal Dhading #2,district,Dhading,Critical Infrastructure Restoration,70.81
Relief Nepal Dhading #2,district,Dhading,Emergency Communications,54.54
Relief Nepal Dhading #2,district,Dhading,Emergency Food Distribution,74.25
Relief Nepal Dhading #2,district,Dhading,Emergency Health Response,74.73
Relief Nepal Dhading #2,district,Dhading,Emergency Logistics & Transportation,59.15
Relief Nepal Dhading #2,district,Dhading,Emergency Shelter & Housing,55.17
Relief Nepal Dhading #2,district,Dhading,Immediate Cash Assistance,64.33
Relief Nepal Dhading #2,district,Dhading,Psychosocial First Aid,76.86
Relief Nepal Dhading #2,district,Dhading,"Search, Rescue & Evacuation",76.87
Relief Nepal Dhading #2,district,Dhading,Water & Sanitation Recovery,88.16
Relief Nepal Dhankuta #1,district,Dhankuta,Agricultural Recovery,52.6
Relief Nepal Dhankuta #1,district,Dhankuta,Critical Infrastructure Restoration,56.82
Relief Nepal Dhankuta #1,district,Dhankuta,Emergency Communications,51.86
Relief Nepal Dhankuta #1,district,Dhankuta,Emergency Food Distribution,68.23
Relief Nepal Dhankuta #1,district,Dhankuta,Emergency Health Response,70.56
Relief Nepal Dhankuta #1,district,Dhankuta,Emergency Logistics & Transportation,81.41
Relief Nepal Dhankuta #1,district,Dhankuta,Emergency Shelter & Housing,61.69
Relief Nepal Dhankuta #1,district,Dhankuta,Immediate Cash Assistance,73.7
Relief Nepal Dhankuta #1,district,Dhankuta,Psychosocial First Aid,74.3
Relief Nepal Dhankuta #1,district,Dhankuta,"Search, Rescue & Evacuation",57.99
Relief Nepal Dhankuta #1,district,Dhankuta,Water & Sanitation Recovery,64.65
Relief Nepal Dhankuta #2,district,Dhankuta,Agricultural Recovery,86.37
Relief Nepal Dhankuta #2,district,Dhankuta,Critical Infrastructure Restoration,51.38
Relief Nepal Dhankuta #2,district,Dhankuta,Emergency Communications,54.88
Relief Nepal Dhankuta #2,district,Dhankuta,Emergency Food Distribution,82.34
Relief Nepal Dhankuta #2,district,Dhankuta,Emergency Health Response,77.37
Relief Nepal Dhankuta #2,district,Dhankuta,Emergency Logistics & Transportation,62.18
Relief Nepal Dhankuta #2,district,Dhankuta,Emergency Shelter & Housing,87.96
Relief Nepal Dhankuta #2,district,Dhankuta,Immediate Cash Assistance,67.61
Relief Nepal Dhankuta #2,district,Dhankuta,Psychosocial First Aid,69.81
Relief Nepal Dhankuta #2,district,Dhankuta,"Search, Rescue & Evacuation",53.91
Relief Nepal Dhankuta #2,district,Dhankuta,Water & Sanitation Recovery,88.63
Relief Nepal Dhanusha #1,district,Dhanusha,Agricultural Recovery,69.66
Relief Nepal Dhanusha #1,district,Dhanusha,Critical Infrastructure Restoration,53.91
Relief Nepal Dhanusha #1,district,Dhanusha,Emergency Communications,78.15
Relief Nepal Dhanusha #1,district,Dhanusha,Emergency Food Distribution,50.58
Relief Nepal Dhanusha #1,district,Dhanusha,Emergency Health Response,51.63
Relief Nepal Dhanusha #1,district,Dhanusha,Emergency Logistics & Transportation,54.64
Relief Nepal Dhanusha #1,district,Dhanusha,Emergency Shelter & Housing,64.23
Relief Nepal Dhanusha #1,district,Dhanusha,Immediate Cash Assistance,84.22
Relief Nepal Dhanusha #1,district,Dhanusha,Psychosocial First Aid,68.97
Relief Nepal Dhanusha #1,district,Dhanusha,"Search, Rescue & Evacuation",51.84
Relief Nepal Dhanusha #1,district,Dhanusha,Water & Sanitation Recovery,80.31
Relief Nepal Dhanusha #2,district,Dhanusha,Agricultural Recovery,84.26
Relief Nepal Dhanusha #2,district,Dhanusha,Critical Infrastructure Restoration,70.13
Relief Nepal Dhanusha #2,district,Dhanusha,Emergency Communications,64.98
Relief Nepal Dhanusha #2,district,Dhanusha,Emergency Food Distribution,67.34
Relief Nepal Dhanusha #2,district,Dhanusha,Emergency Health Response,75.4
Relief Nepal Dhanusha #2,district,Dhanusha,Emergency Logistics & Transportation,65.94
Relief Nepal Dhanusha #2,district,Dhanusha,Emergency Shelter & Housing,68.94
Relief Nepal Dhanusha #2,district,Dhanusha,Immediate Cash Assistance,51.81
Relief Nepal Dhanusha #2,district,Dhanusha,Psychosocial First Aid,75.03
Relief Nepal Dhanusha #2,district,Dhanusha,"Search, Rescue & Evacuation",74.63
Relief Nepal Dhanusha #2,district,Dhanusha,Water & Sanitation Recovery,56.93
Relief Nepal Dolakha #1,district,Dolakha,Agricultural Recovery,78.16
Relief Nepal Dolakha #1,district,Dolakha,Critical Infrastructure Restoration,74.81
Relief Nepal Dolakha #1,district,Dolakha,Emergency Communications,51.15
Relief Nepal Dolakha #1,district,Dolakha,Emergency Food Distribution,72.08
Relief Nepal Dolakha #1,district,Dolakha,Emergency Health Response,66.14
Relief Nepal Dolakha #1,district,Dolakha,Emergency Logistics & Transportation,72.44
Relief Nepal Dolakha #1,district,Dolakha,Emergency Shelter & Housing,70.81
Relief Nepal Dolakha #1,district,Dolakha,Immediate Cash Assistance,55.36
Relief Nepal Dolakha #1,district,Dolakha,Psychosocial First Aid,80.2
Relief Nepal Dolakha #1,district,Dolakha,"Search, Rescue & Evacuation",85.07
Relief Nepal Dolakha #1,district,Dolakha,Water & Sanitation Recovery,84.09
Relief Nepal Dolakha #2,district,Dolakha,Agricultural Recovery,81.34
Relief Nepal Dolakha #2,district,Dolakha,Critical Infrastructure Restoration,70.56
Relief Nepal Dolakha #2,district,Dolakha,Emergency Communications,86.17
Relief Nepal Dolakha #2,district,Dolakha,Emergency Food Distribution,50.58
Relief Nepal Dolakha #2,district,Dolakha,Emergency Health Response,65.69
Relief Nepal Dolakha #2,district,Dolakha,Emergency Logistics & Transportation,64.02
Relief Nepal Dolakha #2,district,Dolakha,Emergency Shelter & Housing,58.52
Relief Nepal Dolakha #2,district,Dolakha,Immediate Cash Assistance,67.5
Relief Nepal Dolakha #2,district,Dolakha,Psychosocial First Aid,63.93
Relief Nepal Dolakha #2,district,Dolakha,"Search, Rescue & Evacuation",73.59
Relief Nepal Dolakha #2,district,Dolakha,Water & Sanitation Recovery,55.45
Relief Nepal Dolpa #1,district,Dolpa,Agricultural Recovery,63.58
Relief Nepal Dolpa #1,district,Dolpa,Critical Infrastructure Restoration,82.07
Relief Nepal Dolpa #1,district,Dolpa,Emergency Communications,84.84
Relief Nepal Dolpa #1,district,Dolpa,Emergency Food Distribution,51.26
Relief Nepal Dolpa #1,district,Dolpa,Emergency Health Response,71.65
Relief Nepal Dolpa #1,district,Dolpa,Emergency Logistics & Transportation,87.45
Relief Nepal Dolpa #1,district,Dolpa,Emergency Shelter & Housing,75.45
Relief Nepal Dolpa #1,district,Dolpa,Immediate Cash Assistance,78.36
Relief Nepal Dolpa #1,district,Dolpa,Psychosocial First Aid,78.56
Relief Nepal Dolpa #1,district,Dolpa,"Search, Rescue & Evacuation",52.08
Relief Nepal Dolpa #1,district,Dolpa,Water & Sanitation Recovery,78.26
Relief Nepal Dolpa #2,district,Dolpa,Agricultural Recovery,52.41
Relief Nepal Dolpa #2,district,Dolpa,Critical Infrastructure Restoration,53.27
Relief Nepal Dolpa #2,district,Dolpa,Emergency Communications,71.06
Relief Nepal Dolpa #2,district,Dolpa,Emergency Food Distribution,85.79
Relief Nepal Dolpa #2,district,Dolpa,Emergency Health Response,68.09
Relief Nepal Dolpa #2,district,Dolpa,Emergency Logistics & Transportation,71.9
Relief Nepal Dolpa #2,district,Dolpa,Emergency Shelter & Housing,82.59
Relief Nepal Dolpa #2,district,Dolpa,Immediate Cash Assistance,75.73
Relief Nepal Dolpa #2,district,Dolpa,Psychosocial First Aid,79.26
Relief Nepal Dolpa #2,district,Dolpa,"Search, Rescue & Evacuation",82.69
Relief Nepal Dolpa #2,district,Dolpa,Water & Sanitation Recovery,53.2
Relief Nepal Doti #1,district,Doti,Agricultural Recovery,89.7
Relief Nepal Doti #1,district,Doti,Critical Infrastructure Restoration,56.1
Relief Nepal Doti #1,district,Doti,Emergency Communications,59.39
Relief Nepal Doti #1,district,Doti,Emergency Food Distribution,80.25
Relief Nepal Doti #1,district,Doti,Emergency Health Response,81.81
Relief Nepal Doti #1,district,Doti,Emergency Logistics & Transportation,63.9
Relief Nepal Doti #1,district,Doti,Emergency Shelter & Housing,53.87
Relief Nepal Doti #1,district,Doti,Immediate Cash Assistance,87.09
Relief Nepal Doti #1,district,Doti,Psychosocial First Aid,65.97
Relief Nepal Doti #1,district,Doti,"Search, Rescue & Evacuation",76.59
Relief Nepal Doti #1,district,Doti,Water & Sanitation Recovery,68.01
Relief Nepal Doti #2,district,Doti,Agricultural Recovery,78.34
Relief Nepal Doti #2,district,Doti,Critical Infrastructure Restoration,81.28
Relief Nepal Doti #2,district,Doti,Emergency Communications,55.11
Relief Nepal Doti #2,district,Doti,Emergency Food Distribution,83.68
Relief Nepal Doti #2,district,Doti,Emergency Health Response,53.56
Relief Nepal Doti #2,district,Doti,Emergency Logistics & Transportation,70.84
Relief Nepal Doti #2,district,Doti,Emergency Shelter & Housing,87.08
Relief Nepal Doti #2,district,Doti,Immediate Cash Assistance,80.2
Relief Nepal Doti #2,district,Doti,Psychosocial First Aid,83.04
Relief Nepal Doti #2,district,Doti,"Search, Rescue & Evacuation",74.94
Relief Nepal Doti #2,district,Doti,Water & Sanitation Recovery,71.59
Relief Nepal Gorkha #1,district,Gorkha,Agricultural Recovery,73.05
Relief Nepal Gorkha #1,district,Gorkha,Critical Infrastructure Restoration,56.1
Relief Nepal Gorkha #1,district,Gorkha,Emergency Communications,86.9
Relief Nepal Gorkha #1,district,Gorkha,Emergency Food Distribution,50.72
Relief Nepal Gorkha #1,district,Gorkha,Emergency Health Response,72.61
Relief Nepal Gorkha #1,district,Gorkha,Emergency Logistics & Transportation,84.88
Relief Nepal Gorkha #1,district,Gorkha,Emergency Shelter & Housing,70.23
Relief Nepal Gorkha #1,district,Gorkha,Immediate Cash Assistance,77.87
Relief Nepal Gorkha #1,district,Gorkha,Psychosocial First Aid,78.29
Relief Nepal Gorkha #1,district,Gorkha,"Search, Rescue & Evacuation",87.28
Relief Nepal Gorkha #1,district,Gorkha,Water & Sanitation Recovery,74.45
Relief Nepal Gorkha #2,district,Gorkha,Agricultural Recovery,86.83
Relief Nepal Gorkha #2,district,Gorkha,Critical Infrastructure Restoration,54.99
Relief Nepal Gorkha #2,district,Gorkha,Emergency Communications,89.39
Relief Nepal Gorkha #2,district,Gorkha,Emergency Food Distribution,79.45
Relief Nepal Gorkha #2,district,Gorkha,Emergency Health Response,68.03
Relief Nepal Gorkha #2,district,Gorkha,Emergency Logistics & Transportation,87.37
Relief Nepal Gorkha #2,district,Gorkha,Emergency Shelter & Housing,74.27
Relief Nepal Gorkha #2,district,Gorkha,Immediate Cash Assistance,54.53
Relief Nepal Gorkha #2,district,Gorkha,Psychosocial First Aid,83.56
Relief Nepal Gorkha #2,district,Gorkha,"Search, Rescue & Evacuation",87.02
Relief Nepal Gorkha #2,district,Gorkha,Water & Sanitation Recovery,66.97
Relief Nepal Gulmi #1,district,Gulmi,Agricultural Recovery,82.63
Relief Nepal Gulmi #1,district,Gulmi,Critical Infrastructure Restoration,56.16
Relief Nepal Gulmi #1,district,Gulmi,Emergency Communications,80.33
Relief Nepal Gulmi #1,district,Gulmi,Emergency Food Distribution,85.35
Relief Nepal Gulmi #1,district,Gulmi,Emergency Health Response,56.96
Relief Nepal Gulmi #1,district,Gulmi,Emergency Logistics & Transportation,87.11
Relief Nepal Gulmi #1,district,Gulmi,Emergency Shelter & Housing,52.31
Relief Nepal Gulmi #1,district,Gulmi,Immediate Cash Assistance,65.84
Relief Nepal Gulmi #1,district,Gulmi,Psychosocial First Aid,77.84
Relief Nepal Gulmi #1,district,Gulmi,"Search, Rescue & Evacuation",89.8
Relief Nepal Gulmi #1,district,Gulmi,Water & Sanitation Recovery,88.76
Relief Nepal Gulmi #2,district,Gulmi,Agricultural Recovery,88.23
Relief Nepal Gulmi #2,district,Gulmi,Critical Infrastructure Restoration,85.55
Relief Nepal Gulmi #2,district,Gulmi,Emergency Communications,60.62
Relief Nepal Gulmi #2,district,Gulmi,Emergency Food Distribution,71.48
Relief Nepal Gulmi #2,district,Gulmi,Emergency Health Response,53.66
Relief Nepal Gulmi #2,district,Gulmi,Emergency Logistics & Transportation,73.72
Relief Nepal Gulmi #2,district,Gulmi,Emergency Shelter & Housing,58.98
Relief Nepal Gulmi #2,district,Gulmi,Immediate Cash Assistance,85.1
Relief Nepal Gulmi #2,district,Gulmi,Psychosocial First Aid,55.18
Relief Nepal Gulmi #2,district,Gulmi,"Search, Rescue & Evacuation",73.2
Relief Nepal Gulmi #2,district,Gulmi,Water & Sanitation Recovery,58.95
Relief Nepal Humla #1,district,Humla,Agricultural Recovery,72.2
Relief Nepal Humla #1,district,Humla,Critical Infrastructure Restoration,69.93
Relief Nepal Humla #1,district,Humla,Emergency Communications,81.59
Relief Nepal Humla #1,district,Humla,Emergency Food Distribution,84.87
Relief Nepal Humla #1,district,Humla,Emergency Health Response,63.48
Relief Nepal Humla #1,district,Humla,Emergency Logistics & Transportation,58.77
Relief Nepal Humla #1,district,Humla,Emergency Shelter & Housing,59.88
Relief Nepal Humla #1,district,Humla,Immediate Cash Assistance,57.28
Relief Nepal Humla #1,district,Humla,Psychosocial First Aid,76.34
Relief Nepal Humla #1,district,Humla,"Search, Rescue & Evacuation",89.03
Relief Nepal Humla #1,district,Humla,Water & Sanitation Recovery,56.38
Relief Nepal Humla #2,district,Humla,Agricultural Recovery,68.5
Relief Nepal Humla #2,district,Humla,Critical Infrastructure Restoration,60.31
Relief Nepal Humla #2,district,Humla,Emergency Communications,52.89
Relief Nepal Humla #2,district,Humla,Emergency Food Distribution,89.85
Relief Nepal Humla #2,district,Humla,Emergency Health Response,57.98
Relief Nepal Humla #2,district,Humla,Emergency Logistics & Transportation,88.99
Relief Nepal Humla #2,district,Humla,Emergency Shelter & Housing,78.77
Relief Nepal Humla #2,district,Humla,Immediate Cash Assistance,77.2
Relief Nepal Humla #2,district,Humla,Psychosocial First Aid,51.23
Relief Nepal Humla #2,district,Humla,"Search, Rescue & Evacuation",76.01
Relief Nepal Humla #2,district,Humla,Water & Sanitation Recovery,59.14
Relief Nepal Ilam #1,district,Ilam,Agricultural Recovery,73.92
Relief Nepal Ilam #1,district,Ilam,Critical Infrastructure Restoration,85.79
Relief Nepal Ilam #1,district,Ilam,Emergency Communications,81.01
Relief Nepal Ilam #1,district,Ilam,Emergency Food Distribution,62.47
Relief Nepal Ilam #1,district,Ilam,Emergency Health Response,57.39
Relief Nepal Ilam #1,district,Ilam,Emergency Logistics & Transportation,70.8
Relief Nepal Ilam #1,district,Ilam,Emergency Shelter & Housing,60.35
Relief Nepal Ilam #1,district,Ilam,Immediate Cash Assistance,88.78
Relief Nepal Ilam #1,district,Ilam,Psychosocial First Aid,87.58
Relief Nepal Ilam #1,district,Ilam,"Search, Rescue & Evacuation",71.87
Relief Nepal Ilam #1,district,Ilam,Water & Sanitation Recovery,76.5
Relief Nepal Ilam #2,district,Ilam,Agricultural Recovery,71.7
Relief Nepal Ilam #2,district,Ilam,Critical Infrastructure Restoration,61.24
Relief Nepal Ilam #2,district,Ilam,Emergency Communications,83.15
Relief Nepal Ilam #2,district,Ilam,Emergency Food Distribution,57.84
Relief Nepal Ilam #2,district,Ilam,Emergency Health Response,65.55
Relief Nepal Ilam #2,district,Ilam,Emergency Logistics & Transportation,51.81
Relief Nepal Ilam #2,district,Ilam,Emergency Shelter & Housing,86.87
Relief Nepal Ilam #2,district,Ilam,Immediate Cash Assistance,60.85
Relief Nepal Ilam #2,district,Ilam,Psychosocial First Aid,64.27
Relief Nepal Ilam #2,district,Ilam,"Search, Rescue & Evacuation",63.01
Relief Nepal Ilam #2,district,Ilam,Water & Sanitation Recovery,53.54
Relief Nepal Jajarkot #1,district,Jajarkot,Agricultural Recovery,67.54
Relief Nepal Jajarkot #1,district,Jajarkot,Critical Infrastructure Restoration,73.15
Relief Nepal Jajarkot #1,district,Jajarkot,Emergency Communications,51.6
Relief Nepal Jajarkot #1,district,Jajarkot,Emergency Food Distribution,79.7
Relief Nepal Jajarkot #1,district,Jajarkot,Emergency Health Response,64.84
Relief Nepal Jajarkot #1,district,Jajarkot,Emergency Logistics & Transportation,67.02
Relief Nepal Jajarkot #1,district,Jajarkot,Emergency Shelter & Housing,84.73
Relief Nepal Jajarkot #1,district,Jajarkot,Immediate Cash Assistance,89.51
Relief Nepal Jajarkot #1,district,Jajarkot,Psychosocial First Aid,84.68
Relief Nepal Jajarkot #1,district,Jajarkot,"Search, Rescue & Evacuation",63.84
Relief Nepal Jajarkot #1,district,Jajarkot,Water & Sanitation Recovery,79.09
Relief Nepal Jajarkot #2,district,Jajarkot,Agricultural Recovery,75.26
Relief Nepal Jajarkot #2,district,Jajarkot,Critical Infrastructure Restoration,74.92
Relief Nepal Jajarkot #2,district,Jajarkot,Emergency Communications,86.49
Relief Nepal Jajarkot #2,district,Jajarkot,Emergency Food Distribution,84.94
Relief Nepal Jajarkot #2,district,Jajarkot,Emergency Health Response,61.07
Relief Nepal Jajarkot #2,district,Jajarkot,Emergency Logistics & Transportation,86.03
Relief Nepal Jajarkot #2,district,Jajarkot,Emergency Shelter & Housing,79.01
Relief Nepal Jajarkot #2,district,Jajarkot,Immediate Cash Assistance,73.69
Relief Nepal Jajarkot #2,district,Jajarkot,Psychosocial First Aid,58.43
Relief Nepal Jajarkot #2,district,Jajarkot,"Search, Rescue & Evacuation",66.87
Relief Nepal Jajarkot #2,district,Jajarkot,Water & Sanitation Recovery,69.47
Relief Nepal Jhapa #1,district,Jhapa,Agricultural Recovery,80.84
Relief Nepal Jhapa #1,district,Jhapa,Critical Infrastructure Restoration,79.16
Relief Nepal Jhapa #1,district,Jhapa,Emergency Communications,82.62
Relief Nepal Jhapa #1,district,Jhapa,Emergency Food Distribution,52.98
Relief Nepal Jhapa #1,district,Jhapa,Emergency Health Response,57.95
Relief Nepal Jhapa #1,district,Jhapa,Emergency Logistics & Transportation,89.48
Relief Nepal Jhapa #1,district,Jhapa,Emergency Shelter & Housing,55.64
Relief Nepal Jhapa #1,district,Jhapa,Immediate Cash Assistance,50.22
Relief Nepal Jhapa #1,district,Jhapa,Psychosocial First Aid,78.27
Relief Nepal Jhapa #1,district,Jhapa,"Search, Rescue & Evacuation",80.89
Relief Nepal Jhapa #1,district,Jhapa,Water & Sanitation Recovery,82.09
Relief Nepal Jhapa #2,district,Jhapa,Agricultural Recovery,75.5
Relief Nepal Jhapa #2,district,Jhapa,Critical Infrastructure Restoration,79.18
Relief Nepal Jhapa #2,district,Jhapa,Emergency Communications,62.44
Relief Nepal Jhapa #2,district,Jhapa,Emergency Food Distribution,54.63
Relief Nepal Jhapa #2,district,Jhapa,Emergency Health Response,63.24
Relief Nepal Jhapa #2,district,Jhapa,Emergency Logistics & Transportation,84.52
Relief Nepal Jhapa #2,district,Jhapa,Emergency Shelter & Housing,52.96
Relief Nepal Jhapa #2,district,Jhapa,Immediate Cash Assistance,52.54
Relief Nepal Jhapa #2,district,Jhapa,Psychosocial First Aid,63.01
Relief Nepal Jhapa #2,district,Jhapa,"Search, Rescue & Evacuation",74.93
Relief Nepal Jhapa #2,district,Jhapa,Water & Sanitation Recovery,64.34
Relief Nepal Jumla #1,district,Jumla,Agricultural Recovery,59.89
Relief Nepal Jumla #1,district,Jumla,Critical Infrastructure Restoration,69.69
Relief Nepal Jumla #1,district,Jumla,Emergency Communications,57.24
Relief Nepal Jumla #1,district,Jumla,Emergency Food Distribution,78.63
Relief Nepal Jumla #1,district,Jumla,Emergency Health Response,59.5
Relief Nepal Jumla #1,district,Jumla,Emergency Logistics & Transportation,86.36
Relief Nepal Jumla #1,district,Jumla,Emergency Shelter & Housing,79.31
Relief Nepal Jumla #1,district,Jumla,Immediate Cash Assistance,88.86
Relief Nepal Jumla #1,district,Jumla,Psychosocial First Aid,84.18
Relief Nepal Jumla #1,district,Jumla,"Search, Rescue & Evacuation",57.19
Relief Nepal Jumla #1,district,Jumla,Water & Sanitation Recovery,55.26
Relief Nepal Jumla #2,district,Jumla,Agricultural Recovery,63.01
Relief Nepal Jumla #2,district,Jumla,Critical Infrastructure Restoration,76.27
Relief Nepal Jumla #2,district,Jumla,Emergency Communications,88.78
Relief Nepal Jumla #2,district,Jumla,Emergency Food Distribution,70.59
Relief Nepal Jumla #2,district,Jumla,Emergency Health Response,56.54
Relief Nepal Jumla #2,district,Jumla,Emergency Logistics & Transportation,64.37
Relief Nepal Jumla #2,district,Jumla,Emergency Shelter & Housing,84.83
Relief Nepal Jumla #2,district,Jumla,Immediate Cash Assistance,65.64
Relief Nepal Jumla #2,district,Jumla,Psychosocial First Aid,60.33
Relief Nepal Jumla #2,district,Jumla,"Search, Rescue & Evacuation",73.72
Relief Nepal Jumla #2,district,Jumla,Water & Sanitation Recovery,67.81
Relief Nepal Kailali #1,district,Kailali,Agricultural Recovery,74.02
Relief Nepal Kailali #1,district,Kailali,Critical Infrastructure Restoration,67.89
Relief Nepal Kailali #1,district,Kailali,Emergency Communications,62.22
Relief Nepal Kailali #1,district,Kailali,Emergency Food Distribution,60.52
Relief Nepal Kailali #1,district,Kailali,Emergency Health Response,87.48
Relief Nepal Kailali #1,district,Kailali,Emergency Logistics & Transportation,64.41
Relief Nepal Kailali #1,district,Kailali,Emergency Shelter & Housing,51.45
Relief Nepal Kailali #1,district,Kailali,Immediate Cash Assistance,72.15
Relief Nepal Kailali #1,district,Kailali,Psychosocial First Aid,65.88
Relief Nepal Kailali #1,district,Kailali,"Search, Rescue & Evacuation",53.51
Relief Nepal Kailali #1,district,Kailali,Water & Sanitation Recovery,62.13
Relief Nepal Kailali #2,district,Kailali,Agricultural Recovery,85.12
Relief Nepal Kailali #2,district,Kailali,Critical Infrastructure Restoration,65.22
Relief Nepal Kailali #2,district,Kailali,Emergency Communications,54.65
Relief Nepal Kailali #2,district,Kailali,Emergency Food Distribution,69.88
Relief Nepal Kailali #2,district,Kailali,Emergency Health Response,58.34
Relief Nepal Kailali #2,district,Kailali,Emergency Logistics & Transportation,89.69
Relief Nepal Kailali #2,district,Kailali,Emergency Shelter & Housing,70.63
Relief Nepal Kailali #2,district,Kailali,Immediate Cash Assistance,87.22
Relief Nepal Kailali #2,district,Kailali,Psychosocial First Aid,82.7
Relief Nepal Kailali #2,district,Kailali,"Search, Rescue & Evacuation",84.06
Relief Nepal Kailali #2,district,Kailali,Water & Sanitation Recovery,86.78
Relief Nepal Kalikot #1,district,Kalikot,Agricultural Recovery,67.23
Relief Nepal Kalikot #1,district,Kalikot,Critical Infrastructure Restoration,83.16
Relief Nepal Kalikot #1,district,Kalikot,Emergency Communications,70.79
Relief Nepal Kalikot #1,district,Kalikot,Emergency Food Distribution,88.79
Relief Nepal Kalikot #1,district,Kalikot,Emergency Health Response,52.94
Relief Nepal Kalikot #1,district,Kalikot,Emergency Logistics & Transportation,68.15
Relief Nepal Kalikot #1,district,Kalikot,Emergency Shelter & Housing,80.94
Relief Nepal Kalikot #1,district,Kalikot,Immediate Cash Assistance,56.79
Relief Nepal Kalikot #1,district,Kalikot,Psychosocial First Aid,63.48
Relief Nepal Kalikot #1,district,Kalikot,"Search, Rescue & Evacuation",59.44
Relief Nepal Kalikot #1,district,Kalikot,Water & Sanitation Recovery,55.23
Relief Nepal Kalikot #2,district,Kalikot,Agricultural Recovery,82.23
Relief Nepal Kalikot #2,district,Kalikot,Critical Infrastructure Restoration,83.77
Relief Nepal Kalikot #2,district,Kalikot,Emergency Communications,76.55
Relief Nepal Kalikot #2,district,Kalikot,Emergency Food Distribution,78.27
Relief Nepal Kalikot #2,district,Kalikot,Emergency Health Response,51.47
Relief Nepal Kalikot #2,district,Kalikot,Emergency Logistics & Transportation,56.68
Relief Nepal Kalikot #2,district,Kalikot,Emergency Shelter & Housing,59.95
Relief Nepal Kalikot #2,district,Kalikot,Immediate Cash Assistance,79.45
Relief Nepal Kalikot #2,district,Kalikot,Psychosocial First Aid,68.98
Relief Nepal Kalikot #2,district,Kalikot,"Search, Rescue & Evacuation",56.7
Relief Nepal Kalikot #2,district,Kalikot,Water & Sanitation Recovery,74.69
Relief Nepal Kanchanpur #1,district,Kanchanpur,Agricultural Recovery,75.64
Relief Nepal Kanchanpur #1,district,Kanchanpur,Critical Infrastructure Restoration,89.02
Relief Nepal Kanchanpur #1,district,Kanchanpur,Emergency Communications,77.8
